_CASE_KEY,Material Group,Material Group Text,Material,Material Text,Net Order Price,Currency,Vendor
1000224,8,Packaging,60-110R,220-235V 60-watt red e27 MIG box,0.01,EUR,1001
100023,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",3.7,USD,R3000
1000234,3,Bulbs,80-100Y,Bulb 220/35V 80-watt yellow,0.26,EUR,1075
1000240,3,Bulbs,YY-230,Plate 125 11.4-11.8 30.5,0.01,EUR,1075
1000241,3,Bulbs,YY-240,Base mounting kit A 1.01,5.11,EUR,1075
1000247,8,Packaging,YY-120,100-piece box,0.26,USD,R3002
1000258,207,Monitors,M-01,Sunny Sunny 01,542,EUR,1015
1000262,207,Monitors,M-05,Microsoft Lizenzen,286.3,EUR,1015
1000263,207,Monitors,M-06,Flatscreen MS 1460 P,557.29,EUR,1025
1000266,207,Monitors,M-09,Flatscreen MS 1585,777.2,EUR,1025
100027,R1221,Returnables,R100022,Bottle 1.5,0.05,USD,R3000
100029,R1111,Dairy,R100001,Fauna margarine,0.95,USD,R3000
1000292,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.36,EUR,R1000
1000315,202,Motherboards,DPC1019,Processor  700  MHz,197.19,EUR,1011
1000327,1,Metal processing,100-510,Ball bearing,10.19,USD,R3000
1000331,1,Metal processing,103-410,Slug for pressure cover--chrome steel,15.3,USD,R3000
1000343,R1131,Tools,R100009,Screwdriver (cross-head),2,USD,5560
1000345,R1131,Tools,R100009,Screwdriver (cross-head),2,USD,5560
100035,R1221,Returnables,R100023,Crate 12 bottles,1.5,EUR,R1000
1000357,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',3.04,USD,3021
1000368,R1132,Sport,R100012,Skateboard 'Hells Bells',67,EUR,1011
1000374,9,Accessories,1400-400,Motorcycle Helmet - Standard,23.01,EUR,R1000
1000417,3,Bulbs,40-100Y,Bulb 220/35V 40-watt yellow,0.11,EUR,300
1000418,8,Packaging,40-110C,40 W clear 220-235V e27 MIG Carton,0.01,EUR,300
1000425,3,Bulbs,40-200Y,Bulb A 40/33x128 yellow EMG,0.01,EUR,1001
1000433,8,Packaging,60-110C,220-235V 60-watt clear e27 MIG box,0.01,EUR,1001
100045,R1111,Dairy,R100001,Fauna margarine,0.41,EUR,R1000
100047,R1112,Beverages,R100003,Lemonade 1.5 l bottle,0.4,EUR,R1000
1000473,210,Input Devices,DPC1009,Standard Keyboard - EURO Model,16.6,EUR,1005
1000480,12,Hardware,DPC1016,"SIM-Module 8M x 36, 70 ns",67.9,EUR,1005
1000481,12,Hardware,DPC1017,"SIM-Module 4M x 36, 70 ns",37.89,EUR,1005
1000487,R1112,Beverages,R100003,Lemonade 1.5 l bottle,0.4,EUR,R1000
100049,R1221,Returnables,R100023,Crate 12 bottles,1.53,EUR,R1000
1000501,R1122,Deli,R100002,Salami parma,49.5,USD,R3000
1000503,R1221,Returnables,R100022,Bottle 1.5,0.05,EUR,1010
1000505,R1111,Dairy,R100001,Fauna margarine,0.95,EUR,1010
100051,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",3.7,USD,R3000
1000525,207,Monitors,M-14,MAG PA/DX 175,562.39,EUR,R1000
100053,R1122,Deli,R100002,Salami parma,49.5,USD,R3000
100054,R1112,Beverages,R100003,Lemonade 1.5 l bottle,0.72,USD,R3000
1000542,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",3.7,EUR,3745
1000544,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.36,EUR,5560
100055,R1221,Returnables,R100022,Bottle 1.5,0.05,USD,R3000
1000560,1,Metal processing,100-310,Slug for Shaft,24.5,EUR,1011
1000562,1,Metal processing,100-430,Lantern ring,2.6,EUR,1011
1000567,1,Metal processing,100-600,Support base,51.1,USD,R3000
1000568,1,Metal processing,100-700,Sheet metal ST37,2.56,USD,R3000
1000569,1,Metal processing,103-110,Slug for spiral casing--chrome steel,35.79,USD,R3000
1000606,R1132,Sport,R100012,Skateboard 'Hells Bells',67,EUR,1011
1000626,R1111,Dairy,R100000,Yoghurt all natural,0.53,USD,3745
100064,R1111,Dairy,R100000,Yoghurt all natural,0.27,EUR,R1000
1000645,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.12,USD,5560
1000649,R1121,Perishables,R100008,Pepper,2.56,USD,5560
100065,R1111,Dairy,R100001,Fauna margarine,0.41,EUR,R1000
1000656,R1114,Preserves,R100027,Meyer's goulash soup,1.07,USD,5550
100066,R1122,Deli,R100002,Salami parma,25.1,EUR,R1000
1000661,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.29,USD,5550
1000664,2,Electronics,R-1160,"Harddisk, 20 GB",152,EUR,5550
1000666,2,Electronics,R-1140,"TFT Monitor, 17"",205,EUR""",5550,,
100067,R1112,Beverages,R100003,Lemonade 1.5 l bottle,0.4,EUR,R1000
100068,R1221,Returnables,R100022,Bottle 1.5,0.14,EUR,R1000
100072,R1111,Dairy,R100000,Yoghurt all natural,0.27,EUR,R1000
1000000,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',3.04,USD,R3002
1000004,208,Hard disks,DPC1002,Harddisk 10.80 GB  / SCSI-2-Fast,157.9,EUR,1005
1000043,R1111,Dairy,R100001,Fauna margarine,0.41,EUR,3021
1000058,R1121,Perishables,R100008,Pepper,1.17,EUR,R1000
1000064,1,Metal processing,100-130,Hexagon head screw M10,0.51,EUR,1011
1000090,R1131,Tools,R100009,Screwdriver (cross-head),1.98,USD,5550
1000094,R1131,Tools,R100010,"Hammer, 20 oz framing",10.08,USD,5560
1000095,R1131,Tools,R100010,"Hammer, 20 oz framing",10.08,USD,5560
1000097,R1133,Household/cosmetics,R100013,Shampoo 'Splash',2.35,USD,5560
1000101,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',2.99,USD,5560
1000104,R1134,Electro,R100016,Tuner X300,191.68,USD,5550
1000111,R1132,Sport,R100011,Basketball 'Professional',13.5,USD,5550
1000125,R1133,Household/cosmetics,R100013,Shampoo 'Splash',1.13,USD,3745
1000126,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',1.35,USD,3745
1000130,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.28,USD,3745
1000131,R1111,Dairy,R100000,Yoghurt all natural,0.53,USD,3745
1000133,R1111,Dairy,R100000,Yoghurt all natural,0.53,USD,R1000
1000134,R1111,Dairy,R100000,Yoghurt all natural,0.53,USD,R1000
1000136,R1111,Dairy,R100001,Fauna margarine,0.95,USD,R1000
1000139,R1122,Deli,R100002,Salami parma,2.47,USD,R1000
1000142,R1122,Deli,R100002,Salami parma,2.47,USD,R1000
1000144,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",7.15,USD,R1000
1000151,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.12,USD,R1000
1000153,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.12,USD,R1000
1000157,R1121,Perishables,R100008,Pepper,2.56,USD,R1000
1000160,R1114,Preserves,R100026,Meyer's cream of mushroom soup,1.08,USD,R1000
1000161,R1114,Preserves,R100026,Meyer's cream of mushroom soup,1.08,USD,R1000
1000177,R1132,Sport,R100011,Basketball 'Professional',4.55,EUR,1003
1000181,R1132,Sport,R100012,Skateboard 'Hells Bells',17.46,EUR,1003
1000183,R1133,Household/cosmetics,R100013,Shampoo 'Splash',1.14,EUR,5550
1000188,R1134,Electro,R100016,Tuner X300,114.14,EUR,5550
1000201,R1111,Dairy,R100000,Yoghurt all natural,0.53,USD,R3000
1000211,3,Bulbs,40-200C,Pistons A 40/33x128 clear EMG,0.1,EUR,300
1000228,3,Bulbs,60-200R,Bulb A 60/33x128 rot EMG,0.1,EUR,1001
1000251,R1131,Tools,R100009,Screwdriver (cross-head),20,USD,R3002
1000278,R1111,Dairy,R100000,Yoghurt all natural,0.27,EUR,R1000
1000279,R1111,Dairy,R100000,Yoghurt all natural,0.27,EUR,R1000
1000283,R1111,Dairy,R100001,Fauna margarine,0.41,EUR,R1000
1000289,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",3.7,EUR,R1000
1000297,R1121,Perishables,R100008,Pepper,1.17,EUR,3902
1000303,208,Hard disks,DPC1003,Harddisk 180 GB / SCSI-2-Fast,309.3,EUR,1005
1000336,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.86,USD,1003
1000338,R1121,Perishables,R100008,Pepper,2.56,USD,1003
1000355,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',3.04,USD,3021
1000369,R1132,Sport,R100012,Skateboard 'Hells Bells',67,EUR,1011
1000370,9,Accessories,1400-100,Deluxe Headlight,22.5,EUR,1011
1000371,9,Accessories,1400-200,Deluxe Taillight,11.8,EUR,1011
1000382,R1114,Preserves,R100026,Meyer's cream of mushroom soup,0.46,EUR,R1000
1000383,R1114,Preserves,R100027,Meyer's goulash soup,0.46,EUR,5550
1000389,R1131,Tools,R100010,"Hammer, 20 oz framing",4.62,EUR,5550
1000390,R1132,Sport,R100011,Basketball 'Professional',4.55,EUR,5550
1000393,R1132,Sport,R100012,Skateboard 'Hells Bells',17.46,EUR,3021
1000394,R1132,Sport,R100012,Skateboard 'Hells Bells',17.46,EUR,3021
1000400,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',1.35,EUR,3021
1000402,R1134,Electro,R100016,Tuner X300,114.14,EUR,3021
1000403,R1134,Electro,R100016,Tuner X300,114.14,EUR,5550
1000409,R1114,Preserves,R100027,Meyer's goulash soup,0.46,EUR,5550
1000412,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.28,EUR,5550
1000413,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.28,EUR,300
1000437,3,Bulbs,60-200C,Bulb A 60/33x128 clear EMG,0.1,EUR,1001
1000439,3,Bulbs,60-200R,Bulb A 60/33x128 rot EMG,0.1,EUR,1001
1000450,3,Bulbs,YY-220,Pst 125 3.6-3.8/0.65-0.75 113,0.01,EUR,1001
1000451,3,Bulbs,YY-230,Plate 125 11.4-11.8 30.5,0.01,EUR,1001
1000454,3,Bulbs,80-200F,Bulb A 80/33x128 frosted EMG,0.1,USD,R3002
1000461,3,Bulbs,YY-270,Base E27/27HAL,0.01,USD,R3002
1000466,R1134,Electro,R100016,Tuner X300,157,EUR,1005
1000538,R1122,Deli,R100002,Salami parma,1.25,EUR,3745
1000547,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.29,EUR,5560
1000548,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.29,EUR,5560
1000554,R1131,Tools,R100009,Screwdriver (cross-head),2.39,EUR,1011
1000585,R1131,Tools,R100010,"Hammer, 20 oz framing",11.08,USD,5550
1000586,R1131,Tools,R100010,"Hammer, 20 oz framing",11.08,USD,5550
1000587,R1131,Tools,R100010,"Hammer, 20 oz framing",11.08,USD,5550
1000590,R1133,Household/cosmetics,R100013,Shampoo 'Splash',2.64,USD,5550
1000593,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',3.04,USD,3745
1000596,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',3.04,USD,3745
1000615,R1131,Tools,R100010,"Hammer, 20 oz framing",4.46,EUR,R1000
1000625,R1111,Dairy,R100000,Yoghurt all natural,0.53,USD,3745
1000633,R1122,Deli,R100002,Salami parma,2.47,USD,5550
1000634,R1122,Deli,R100002,Salami parma,2.47,USD,5550
1000636,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",7.34,USD,5550
1000642,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.86,USD,5550
1000643,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.86,USD,5560
1000648,R1121,Perishables,R100008,Pepper,2.56,USD,5560
1000650,R1121,Perishables,R100008,Pepper,2.56,USD,5560
1000663,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.29,EUR,5550
1000670,R1131,Tools,R100010,"Hammer, 20 oz framing",4.58,EUR,5550
1000672,R1132,Sport,R100011,Basketball 'Professional',4.58,EUR,5550
1000674,R1132,Sport,R100012,Skateboard 'Hells Bells',17.71,EUR,5550
1000675,R1132,Sport,R100012,Skateboard 'Hells Bells',17.71,EUR,5550
1000679,R1133,Household/cosmetics,R100013,Shampoo 'Splash',1.14,EUR,5550
1000688,R1114,Preserves,R100026,Meyer's cream of mushroom soup,0.46,EUR,5550
1000690,R1114,Preserves,R100027,Meyer's goulash soup,0.46,EUR,5550
1000691,R1114,Preserves,R100027,Meyer's goulash soup,0.46,EUR,5550
1000692,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.28,EUR,5550
1000695,13,Elevators,,,100000,USD,3021
1000699,2,Electronics,THT-00-01,Laser Printer,179,USD,3021
1000700,2,Electronics,THT-00-02,Laser Printer,179,USD,3021
1000703,2,Electronics,THT-00-05,Laser Printer,179,USD,3021
1000708,2,Electronics,THT-00-10,Laser Printer,179,USD,3021
1000709,2,Electronics,THT-00-11,Laser Printer,179,USD,3021
1000716,2,Electronics,THT-00-18,Laser Printer,179,USD,3021
1000720,2,Electronics,THT-00-22,Laser Printer,179,USD,3021
1000725,2,Electronics,THT-00-27,Laser Printer,179,USD,3021
1000727,2,Electronics,THT-00-29,Laser Printer,179,USD,3021
1000731,2,Electronics,THT-00-33,Laser Printer,179,USD,3021
1000734,2,Electronics,THT-00-36,Laser Printer,179,USD,3021
100001,R1111,Dairy,R100001,Fauna margarine,0.95,EUR,R1000
1000012,210,Input Devices,DPC1013,Professional keyboard - NATURAL Model,35.39,EUR,1005
100002,R1122,Deli,R100002,Salami parma,49.5,EUR,R1000
100003,R1112,Beverages,R100003,Lemonade 1.5 l bottle,0.72,EUR,R1000
1000034,207,Monitors,M-16,SEC Multisync XV 17,838.5,EUR,5550
1000035,207,Monitors,M-17,Jotachi SN4000,920.29,EUR,5550
1000038,207,Monitors,M-20,Jotachi SN 7000,577.79,EUR,5550
100006,R1221,Returnables,R100022,Bottle 1.5,0.05,EUR,R1000
1000070,1,Metal processing,100-431,Mains adaptor 100 - 240 V,1.42,EUR,1011
1000072,1,Metal processing,100-433,Screw M 6X60,0.51,EUR,1011
100011,R1112,Beverages,R100003,Lemonade 1.5 l bottle,0.4,EUR,R1000
100018,R1122,Deli,R100002,Salami parma,25.1,EUR,R1000
1000205,3,Bulbs,40-100R,Bulb 220/35V 40-watt red,0.29,EUR,300
1000208,8,Packaging,40-110F,220-235V 40-watt frosted e27 MIG box,0.01,EUR,300
1000212,3,Bulbs,40-200F,Pistons A 40/33x128  matt EMG,0.1,EUR,300
1000219,3,Bulbs,60-100F,Light Bulb 220/235V 60 watt frosted,0.13,EUR,1001
1000227,3,Bulbs,60-200F,Bulb A 60/33x128 frosted EMG,0.1,EUR,1001
1000238,8,Packaging,80-110Y,220-235V 80-watt yellow e27 MIG box,0.01,EUR,1075
1000243,3,Bulbs,80-200F,Bulb A 80/33x128 frosted EMG,0.1,USD,R3002
1000246,3,Bulbs,XX-200,"Foil 330x0,03",0.01,USD,R3002
1000248,3,Bulbs,YY-250,MDH 0.10000 mm bl.ggl,0.51,USD,R3002
1000261,207,Monitors,M-04,Sunny Extreme,659.6,EUR,1015
1000265,207,Monitors,M-08,Flatscreen MS 1575P,731.2,EUR,1025
1000270,207,Monitors,M-13,MAG DX 17F,536.89,EUR,1025
1000272,207,Monitors,M-15,SEC Multisync XV15,710.7,EUR,1025
100028,R1221,Returnables,R100023,Crate 12 bottles,1.5,USD,R3000
1000299,R1131,Tools,R100009,Screwdriver (cross-head),2.39,EUR,3902
100030,R1122,Deli,R100002,Salami parma,49.5,EUR,R1000
1000302,208,Hard disks,DPC1002,Harddisk 10.80 GB  / SCSI-2-Fast,157.9,EUR,3902
1000307,210,Input Devices,DPC1010,Standard Keyboard - EURO-Special Model,16.5,EUR,1005
1000316,202,Motherboards,DPC1020,3Processor  500 MHz,23.5,EUR,1011
100032,R1221,Returnables,R100022,Bottle 1.5,0.05,EUR,R1000
1000321,1,Metal processing,100-310,Slug for Shaft,24.5,EUR,1011
1000329,1,Metal processing,100-700,Sheet metal ST37,2.56,USD,R3000
1000354,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',3.04,USD,3021
100037,R1111,Dairy,R100001,Fauna margarine,0.41,EUR,R1000
100038,R1122,Deli,R100002,Salami parma,25.1,EUR,R1000
100039,R1112,Beverages,R100003,Lemonade 1.5 l bottle,0.4,EUR,R1000
1000399,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',1.35,EUR,3021
1000405,R1114,Preserves,R100026,Meyer's cream of mushroom soup,0.46,EUR,5550
1000416,3,Bulbs,40-100R,Bulb 220/35V 40-watt red,0.29,EUR,300
1000428,3,Bulbs,YY-210,Solid wire LSN 5 1.8,4.59,EUR,1001
1000442,3,Bulbs,80-100C,Light Bulb 220/235V 80 watt clear,0.13,EUR,1001
1000449,8,Packaging,80-110Y,220-235V 80-watt yellow e27 MIG box,0.01,EUR,1001
1000452,3,Bulbs,YY-240,Base mounting kit A 1.01,5.11,EUR,1001
1000457,3,Bulbs,XX-200,"Foil 330x0,03",0.01,USD,R3002
100046,R1122,Deli,R100002,Salami parma,25.1,EUR,R1000
1000472,208,Hard disks,DPC1005,Harddisk 21.13 GB /  ATA-2,180,EUR,1005
1000484,R1111,Dairy,R100000,Yoghurt all natural,0.27,EUR,R1000
1000489,R1221,Returnables,R100023,Crate 12 bottles,1.53,EUR,R1000
1000497,R1221,Returnables,R100023,Crate 12 bottles,1.53,USD,R3000
1000508,R1221,Returnables,R100022,Bottle 1.5,0.05,EUR,1010
1000509,R1221,Returnables,R100023,Crate 12 bottles,1.5,EUR,1010
1000512,207,Monitors,M-01,Sunny Sunny 01,542,EUR,1010
1000516,207,Monitors,M-05,Microsoft Lizenzen,286.3,EUR,1015
1000524,207,Monitors,M-13,MAG DX 17F,536.89,EUR,R1000
1000527,207,Monitors,M-16,SEC Multisync XV 17,838.5,EUR,R1000
1000531,207,Monitors,M-20,Jotachi SN 7000,577.79,EUR,R1000
100058,R1122,Deli,R100002,Salami parma,49.5,USD,R3000
1000584,R1131,Tools,R100009,Screwdriver (cross-head),2,USD,5550
1000591,R1133,Household/cosmetics,R100013,Shampoo 'Splash',2.64,USD,5550
100060,R1221,Returnables,R100022,Bottle 1.5,0.05,EUR,R1000
1000614,9,Accessories,1400-750,Deluxe Gas Tank Striping Decals,8.19,EUR,R1000
1000697,7,Services,,,635,USD,3021
1000543,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",3.7,EUR,5560
1000545,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.36,EUR,5560
1000549,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.29,EUR,5560
1000551,R1121,Perishables,R100008,Pepper,1.17,EUR,5560
1000553,R1131,Tools,R100009,Screwdriver (cross-head),2.39,EUR,1011
1000556,1,Metal processing,100-120,Flat gasket,23.5,EUR,1011
1000557,1,Metal processing,100-130,Hexagon head screw M10,0.51,EUR,1011
1000559,1,Metal processing,100-410,Casing for electronic drive,5.11,EUR,1011
1000566,1,Metal processing,100-510,Ball bearing,10.19,USD,R3000
1000576,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.12,USD,5550
1000579,R1114,Preserves,R100027,Meyer's goulash soup,1.08,USD,5550
1000592,R1133,Household/cosmetics,R100013,Shampoo 'Splash',2.64,USD,5550
1000599,R1134,Electro,R100016,Tuner X300,176,USD,3745
1000607,R1132,Sport,R100012,Skateboard 'Hells Bells',67,EUR,1011
100061,R1221,Returnables,R100023,Crate 12 bottles,1.5,EUR,R1000
1000611,201,Motorcycles,1400-300,SunFun / 1200 cm3,3681.3,EUR,1011
1000616,R1132,Sport,R100011,Basketball 'Professional',4.75,EUR,R1000
1000618,R1133,Household/cosmetics,R100013,Shampoo 'Splash',1.13,EUR,R1000
1000621,R1114,Preserves,R100026,Meyer's cream of mushroom soup,0.46,EUR,R1000
1000624,R1111,Dairy,R100000,Yoghurt all natural,0.53,USD,3745
1000628,R1111,Dairy,R100001,Fauna margarine,0.95,USD,3745
1000629,R1111,Dairy,R100001,Fauna margarine,0.95,USD,3745
1000630,R1111,Dairy,R100001,Fauna margarine,0.95,USD,3745
1000638,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",7.34,USD,5550
1000657,R1114,Preserves,R100027,Meyer's goulash soup,1.07,USD,5550
1000662,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.29,USD,5550
1000669,R1131,Tools,R100010,"Hammer, 20 oz framing",4.58,EUR,5550
1000685,R1134,Electro,R100016,Tuner X300,114.14,EUR,5550
1000694,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.28,USD,3021
1000696,803,Pallets,,,200,USD,3021
1000698,2,Electronics,THT-00-00,Laser Printer,179,USD,3021
100070,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",3.7,EUR,R1000
1000701,2,Electronics,THT-00-03,Laser Printer,179,USD,3021
1000707,2,Electronics,THT-00-09,Laser Printer,179,USD,3021
100071,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.39,EUR,R1000
1000714,2,Electronics,THT-00-16,Laser Printer,179,USD,3021
1000717,2,Electronics,THT-00-19,Laser Printer,179,USD,3021
1000724,2,Electronics,THT-00-26,Laser Printer,179,USD,3021
1000726,2,Electronics,THT-00-28,Laser Printer,179,USD,3021
1000728,2,Electronics,THT-00-30,Laser Printer,179,USD,3021
1000737,2,Electronics,THT-00-39,Laser Printer,179,USD,3021
100074,R1122,Deli,R100002,Salami parma,25.1,EUR,R1000
